Name,Type,Address,total,bike ped,serious/fatal,youth,speed,2014Rank,Location,Latitude,Longitude
Durso,Park,421 W LOCUST ST,132.0,19.0,4.0,7.0,39.0,529.0,"(41.8989138, -87.63948719999999)",41.8989138, -87.63948719999999
Dusable HS,School,4934 S WABASH AVE,154.0,7.0,5.0,38.0,49.0,309.0,"(41.8046858, -87.6251595)",41.8046858, -87.6251595
Dvorak,Park,1119 W CULLERTON ST,74.0,5.0,2.0,10.0,19.0,840.0,"(41.855021, -87.6539074)",41.855021, -87.6539074
Dvorak Acad,School,3615 W 16TH ST,122.0,17.0,7.0,20.0,35.0,455.0,"(41.85858289999999, -87.7157865)",41.85858289999999, -87.7157865
Dyett Middle,School,555 E 51ST ST,67.0,7.0,1.0,6.0,22.0,978.0,"(41.8013958, -87.61238639999999)",41.8013958, -87.61238639999999
Earhart,School,1710 E 93RD ST,123.0,3.0,3.0,19.0,40.0,526.0,"(41.7264906, -87.5828207)",41.7264906, -87.5828207
Earle,School,6121 S HERMITAGE AVE,44.0,5.0,2.0,9.0,12.0,1051.0,"(41.7824613, -87.667909)",41.7824613, -87.667909
Eberhart,School,3400 W 65TH PL,68.0,1.0,0.0,10.0,6.0,1110.0,"(41.774628, -87.70833510000001)",41.774628, -87.70833510000001
Ebinger,School,7350 W PRATT AVE,23.0,0.0,0.0,9.0,2.0,1363.0,"(42.0046525, -87.8108201)",42.0046525, -87.8108201
Eckersall,Park,2430 E 82ND ST,44.0,1.0,0.0,6.0,16.0,1172.0,"(41.7462811, -87.5650344)",41.7462811, -87.5650344
Eckhart,Park,1330 W CHICAGO AVE,179.0,23.0,4.0,18.0,53.0,297.0,"(41.8966966, -87.66140709999999)",41.8966966, -87.66140709999999
Edgebrook,School,6525 N HIAWATHA AVE,49.0,6.0,2.0,14.0,12.0,1067.0,"(41.9994428, -87.76183530000002)",41.9994428, -87.76183530000002
Edgebrook,School,6525 N HIAWATHA AVE,49.0,6.0,2.0,14.0,12.0,1067.0,"(41.9994428, -87.76183530000002)",41.9994428, -87.76183530000002
Edgebrook,Park,6525 N HIAWATHA AVE,52.0,6.0,2.0,15.0,12.0,1047.0,"(41.9994428, -87.76183530000002)",41.9994428, -87.76183530000002
Edgebrook,Park,6525 N HIAWATHA AVE,52.0,6.0,2.0,15.0,12.0,1047.0,"(41.9994428, -87.76183530000002)",41.9994428, -87.76183530000002
Edison,School,6220 N OLCOTT AVE,18.0,1.0,0.0,6.0,3.0,1401.0,"(41.9942041, -87.81378470000001)",41.9942041, -87.81378470000001
Edison,Park,6755 N NORTHWEST HWY,119.0,5.0,1.0,17.0,29.0,620.0,"(42.0040475, -87.8175957)",42.0040475, -87.8175957
Edmonds,Park,711 W 60TH PL,31.0,3.0,1.0,4.0,14.0,1251.0,"(41.784231, -87.6430642)",41.784231, -87.6430642
Educate Empower Acad,School,12900 S HALSTED ST,47.0,1.0,5.0,20.0,17.0,988.0,"(41.659438, -87.64166999999999)",41.659438, -87.64166999999999
Edward Beasely Child Par,School,5165 S STATE ST,49.0,2.0,2.0,13.0,17.0,1050.0,"(41.8000925, -87.625787)",41.8000925, -87.625787
Edwards,School,4815 S KARLOV AVE,193.0,7.0,2.0,46.0,48.0,240.0,"(41.8053759, -87.72553649999999)",41.8053759, -87.72553649999999
Ellington,School,224 N CENTRAL AVE,207.0,22.0,3.0,28.0,50.0,243.0,"(41.8849719, -87.7650286)",41.8849719, -87.7650286
Ellis,Park,600 E 37TH ST,44.0,2.0,0.0,8.0,7.0,1144.0,"(41.8275296, -87.61162639999999)",41.8275296, -87.61162639999999
Elm,Park,5215 S WOODLAWN AVE,112.0,13.0,3.0,6.0,31.0,665.0,"(41.8004125, -87.59666800000001)",41.8004125, -87.59666800000001
Elston,Park,3461 N TROY ST,125.0,8.0,2.0,16.0,26.0,614.0,"(41.9444386, -87.706524)",41.9444386, -87.706524
Emerald,Park,5600 S EMERALD AVE,77.0,3.0,3.0,18.0,27.0,783.0,"(41.792251, -87.6442469)",41.792251, -87.6442469
Emmanuel Christian Scho,School,8301 S DAMEN AVE,46.0,1.0,2.0,14.0,13.0,1102.0,"(41.7421561, -87.6725764)",41.7421561, -87.6725764
Emmerson,Park,1820 W GRANVILLE AVE,166.0,11.0,3.0,29.0,42.0,335.0,"(41.9948698, -87.6770939)",41.9948698, -87.6770939
Emmet,School,5500 W MADISON ST,440.0,44.0,13.0,98.0,133.0,18.0,"(41.8809312, -87.7640378)",41.8809312, -87.7640378
Englewood HS,School,6201 S STEWART AVE,174.0,12.0,5.0,37.0,69.0,229.0,"(41.7820213, -87.6342184)",41.7820213, -87.6342184
Epiphany,School,4223 W 25TH ST,96.0,6.0,2.0,11.0,22.0,717.0,"(41.8457328, -87.7302289)",41.8457328, -87.7302289
Erhler,Park,2230 W CORTLAND ST,113.0,12.0,2.0,12.0,28.0,647.0,"(41.9161135, -87.6831924)",41.9161135, -87.6831924
Ericson,School,3600 W FIFTH AVE,105.0,9.0,5.0,22.0,29.0,604.0,"(41.87607939999999, -87.71646849999999)",41.87607939999999, -87.71646849999999
Erie Chtr,School,1405 N WASHTENAW AVE,50.0,3.0,0.0,5.0,5.0,1158.0,"(41.9069483, -87.6941154)",41.9069483, -87.6941154
Eslup Rapid Learning Ctr,School,710 W 61ST PL,33.0,2.0,0.0,5.0,14.0,1239.0,"(41.782774, -87.6430759)",41.782774, -87.6430759
Esmond,School,1865 W MONTVALE AVE,30.0,3.0,1.0,3.0,6.0,1335.0,"(41.689107, -87.669517)",41.689107, -87.669517
Esperanza Community Se,School,520 N MARSHFIELD STREET,136.0,7.0,3.0,11.0,34.0,555.0,"(41.8914182, -87.6688319)",41.8914182, -87.6688319
Essex,Park,7687 S SOUTH CHICAGO AVE,47.0,1.0,1.0,13.0,16.0,1081.0,"(41.7549485, -87.5900638)",41.7549485, -87.5900638
Euclid,Park,9800 S PARNELL AVE,56.0,1.0,1.0,7.0,22.0,1037.0,"(41.7157214, -87.6375936)",41.7157214, -87.6375936
Eugenie Triangle,Park,1707 N LA SALLE ST,280.0,18.0,2.0,14.0,85.0,123.0,"(41.9132237, -87.6332098)",41.9132237, -87.6332098
Evangelical Christian Sch,School,9130 S VINCENNES AVE,48.0,0.0,0.0,7.0,12.0,1183.0,"(41.7281366, -87.64854489999999)",41.7281366, -87.64854489999999
Everett,School,3419 S BELL AVE,48.0,0.0,0.0,8.0,15.0,1151.0,"(41.83173910000001, -87.68109489999999)",41.83173910000001, -87.68109489999999
Evergreen,School,3537 S PAULINA ST,112.0,4.0,2.0,34.0,37.0,492.0,"(41.8290346, -87.66755839999999)",41.8290346, -87.66755839999999
Evergreen,Park,631 W BELMONT AVE,255.0,27.0,5.0,9.0,66.0,187.0,"(41.93986779999999, -87.6456551)",41.93986779999999, -87.6456551
Evers,School,9811 S LOWE AVE,40.0,1.0,1.0,3.0,16.0,1206.0,"(41.7156457, -87.63896930000001)",41.7156457, -87.63896930000001
Ewing,Park,9814 S EWING AVE,84.0,10.0,3.0,25.0,24.0,702.0,"(41.7172417, -87.5352767)",41.7172417, -87.5352767
Ezzard Charles School,School,7946 S ASHLAND AVE,271.0,22.0,7.0,53.0,76.0,85.0,"(41.7490917, -87.6637731)",41.7490917, -87.6637731
Fairfield Acad,School,6201 S FAIRFIELD AVE,176.0,15.0,7.0,25.0,30.0,329.0,"(41.7806058, -87.69160629999999)",41.7806058, -87.69160629999999
Falconer,School,3020 N LAMON AVE,43.0,2.0,1.0,3.0,4.0,1293.0,"(41.9355906, -87.7506105)",41.9355906, -87.7506105
Faraday,School,3250 W MONROE ST,156.0,14.0,8.0,27.0,34.0,341.0,"(41.8798883, -87.7082623)",41.8798883, -87.7082623
Farnsworth,School,5414 N LINDER AVE,78.0,6.0,3.0,7.0,19.0,927.0,"(41.9802178, -87.76656679999999)",41.9802178, -87.76656679999999
Farragut HS,School,2345 S CHRISTIANA AVE,117.0,15.0,3.0,24.0,37.0,450.0,"(41.8493374, -87.7083014)",41.8493374, -87.7083014
Faulkner School,School,1750 E 78TH ST,52.0,3.0,0.0,8.0,12.0,1147.0,"(41.7535399, -87.5813204)",41.7535399, -87.5813204
Fellger,Park,2012 W BELMONT AVE,134.0,14.0,5.0,14.0,46.0,465.0,"(41.939563, -87.67915939999999)",41.939563, -87.67915939999999
Fenger HS,School,11220 S WALLACE ST,53.0,2.0,0.0,7.0,18.0,1088.0,"(41.6896803, -87.63835449999999)",41.6896803, -87.63835449999999
Fermi,School,1415 E 70TH ST,50.0,4.0,0.0,6.0,14.0,1045.0,"(41.7673044, -87.5902468)",41.7673044, -87.5902468
Fernwood,Park,10436 S WALLACE ST,40.0,1.0,2.0,9.0,11.0,1195.0,"(41.7042165, -87.6383391)",41.7042165, -87.6383391
Fernwood,School,10041 S UNION AVE,53.0,0.0,0.0,4.0,21.0,1103.0,"(41.7110227, -87.6402505)",41.7110227, -87.6402505
Fernwood Pkwy.,Park,9501 S EGGLESTON AVE,170.0,7.0,4.0,29.0,56.0,291.0,"(41.7215108, -87.63395969999999)",41.7215108, -87.63395969999999
Field,School,7019 N ASHLAND BL,128.0,11.0,7.0,17.0,32.0,535.0,"(42.00962810000001, -87.6694199)",42.00962810000001, -87.6694199
Field,Park,5100 N RIDGEWAY AVE,344.0,10.0,8.0,58.0,86.0,53.0,"(41.9739865, -87.7223829)",41.9739865, -87.7223829
Filbert,Park,1822 W LARCHMONT AVE,148.0,6.0,2.0,13.0,29.0,544.0,"(41.953537, -87.675045)",41.953537, -87.675045
Finkl,School,2332 S WESTERN AVE,141.0,13.0,5.0,29.0,44.0,368.0,"(41.8494453, -87.6869415)",41.8494453, -87.6869415
Fiske,School,6145 S INGLESIDE AVE,45.0,2.0,1.0,3.0,10.0,1233.0,"(41.7828402, -87.60273699999999)",41.7828402, -87.60273699999999
Flower,Park,2554 W MOFFAT ST,39.0,0.0,1.0,3.0,6.0,1302.0,"(41.9148126, -87.69190929999999)",41.9148126, -87.69190929999999
Flying Squirrel,Park,6600 S WOODLAWN AVE,48.0,0.0,1.0,11.0,15.0,1113.0,"(41.7750194, -87.59606149999999)",41.7750194, -87.59606149999999
Foreman HS,School,3235 N LECLAIRE AVE,145.0,7.0,4.0,37.0,29.0,408.0,"(41.9397716, -87.7527327)",41.9397716, -87.7527327
Forest Glen,Park,5073 W BERWYN AVE,57.0,0.0,1.0,11.0,19.0,1028.0,"(41.977859, -87.7540999)",41.977859, -87.7540999
Fort Dearborn,School,9025 S THROOP ST,33.0,1.0,0.0,2.0,6.0,1345.0,"(41.7299219, -87.65497289999999)",41.7299219, -87.65497289999999
Fosco,Park,1313 S THROOP ST,64.0,9.0,1.0,15.0,16.0,950.0,"(41.864722, -87.6588229)",41.864722, -87.6588229
Foster,Park,1400 W 84TH ST,289.0,19.0,5.0,71.0,70.0,69.0,"(41.7413927, -87.6583636)",41.7413927, -87.6583636
Foster Park,School,8530 S WOOD ST,24.0,0.0,0.0,0.0,2.0,1438.0,"(41.7386327, -87.6685596)",41.7386327, -87.6685596
Frances Xavier Warde Sc,School,751 N STATE ST,455.0,66.0,12.0,26.0,131.0,26.0,"(41.8964647, -87.62761069999999)",41.8964647, -87.62761069999999
Francis Parker,School,330 W WEBSTER AVE,193.0,23.0,5.0,7.0,42.0,343.0,"(41.92319519999999, -87.6384928)",41.92319519999999, -87.6384928
Francis W Parker Child_Pa,School,328 W 69TH ST,26.0,2.0,0.0,3.0,7.0,1262.0,"(41.7692969, -87.6337463)",41.7692969, -87.6337463
Franklin,Park,1449 S KOLIN AVE,109.0,8.0,2.0,11.0,32.0,593.0,"(41.861171, -87.7335878)",41.861171, -87.7335878
Franklin Magnet,School,225 W EVERGREEN AVE,174.0,21.0,5.0,17.0,45.0,332.0,"(41.9060674, -87.6359593)",41.9060674, -87.6359593
Frazier International Mag,School,4027 W GRENSHAW ST,245.0,19.0,12.0,36.0,70.0,117.0,"(41.8668215, -87.7262167)",41.8668215, -87.7262167
Friedrick Von Schiller C _,School,1409 N OGDEN AVE,85.0,7.0,1.0,5.0,28.0,754.0,"(41.907126, -87.6461697)",41.907126, -87.6461697
Fuller,School,4214 S ST LAWRENCE AVE,54.0,1.0,1.0,10.0,13.0,1107.0,"(41.8180574, -87.61232790000001)",41.8180574, -87.61232790000001
Fuller,Park,331 W 45TH ST,187.0,11.0,9.0,32.0,67.0,199.0,"(41.8122536, -87.63460839999999)",41.8122536, -87.63460839999999
Fulton,School,5300 S HERMITAGE AVE,28.0,2.0,0.0,3.0,3.0,1377.0,"(41.7971263, -87.6687067)",41.7971263, -87.6687067
Funston,School,2010 N CENTRAL PARK AVE,138.0,18.0,2.0,31.0,28.0,385.0,"(41.9177477, -87.7171339)",41.9177477, -87.7171339
Gage,Park,2415 W 55TH ST,386.0,9.0,5.0,63.0,99.0,37.0,"(41.7938644, -87.68454709999999)",41.7938644, -87.68454709999999
Gage Park HS,School,5630 S ROCKWELL ST,72.0,5.0,0.0,9.0,9.0,1053.0,"(41.7910307, -87.6897308)",41.7910307, -87.6897308
Gale,Park,7631 N ASHLAND AVE,150.0,14.0,1.0,17.0,35.0,473.0,"(42.020606, -87.6707064)",42.020606, -87.6707064
Gale Commercial Acad,School,1631 W JONQUIL TER,124.0,11.0,1.0,18.0,27.0,589.0,"(42.0206137, -87.6713468)",42.0206137, -87.6713468
Galewood,Park,5729 W BLOOMINGDALE AVE,133.0,4.0,1.0,22.0,40.0,487.0,"(41.9124286, -87.76898550000001)",41.9124286, -87.76898550000001
Galileo Scholastic,School,820 S CARPENTER ST,95.0,8.0,2.0,15.0,22.0,755.0,"(41.871056, -87.65372740000001)",41.871056, -87.65372740000001
Gallistel Languge Acad,School,10347 S EWING AVE,65.0,5.0,1.0,11.0,17.0,892.0,"(41.7068834, -87.5349293)",41.7068834, -87.5349293
Gano,Park,1035 W 117TH ST,23.0,0.0,1.0,2.0,1.0,1349.0,"(41.6813598, -87.6482073)",41.6813598, -87.6482073
Garfield,Park,100 N CENTRAL PARK DR,1403.0,79.0,59.0,267.0,372.0,1.0,"(41.8814165, -87.715873)",41.8814165, -87.715873
Garfield Alternative High,School,220 WEST 45TH PLACE,31.0,2.0,1.0,2.0,9.0,1309.0,"(41.8118355, -87.6321122)",41.8118355, -87.6321122
Garibaldi,Park,1520 W POLK ST,177.0,25.0,9.0,26.0,58.0,256.0,"(41.8716496, -87.6652757)",41.8716496, -87.6652757
Garvey Marcus,School,10309 S MORGAN ST,61.0,1.0,0.0,15.0,15.0,1006.0,"(41.7065861, -87.6471333)",41.7065861, -87.6471333
Garvy John,School,5225 N OAK PARK AVE,51.0,2.0,2.0,12.0,18.0,1039.0,"(41.9760619, -87.7958862)",41.9760619, -87.7958862
Gary,School,3740 W 31ST ST,115.0,9.0,2.0,13.0,21.0,705.0,"(41.83787969999999, -87.7187629)",41.83787969999999, -87.7187629
Gately,Park,810 E 103RD ST,122.0,6.0,3.0,43.0,30.0,453.0,"(41.7082497, -87.6031819)",41.7082497, -87.6031819
Gateway To Learning,School,4925 N LINCOLN,160.0,4.0,3.0,18.0,47.0,383.0,"(41.971689, -87.69017730000002)",41.971689, -87.69017730000002
Gce Sch Year Learning Ins,School,800 W BUENA AVE,83.0,5.0,1.0,2.0,10.0,1052.0,"(41.9587256, -87.65024849999999)",41.9587256, -87.65024849999999
Genesis School Central,School,7831 S LAWNDALE AVE,109.0,2.0,3.0,28.0,33.0,502.0,"(41.7505657, -87.71335619999999)",41.7505657, -87.71335619999999
George Washington,School,3611 E 114TH ST,23.0,1.0,1.0,4.0,4.0,1383.0,"(41.687708, -87.5359574)",41.687708, -87.5359574
Gill,Park,825 W SHERIDAN RD,180.0,25.0,6.0,5.0,50.0,338.0,"(41.952355, -87.6505937)",41.952355, -87.6505937
Gillespie,School,9301 S STATE ST,77.0,12.0,1.0,12.0,23.0,833.0,"(41.7252002, -87.6231245)",41.7252002, -87.6231245
Ginkgo,Park,3432 W 15TH ST,55.0,5.0,2.0,9.0,11.0,1009.0,"(41.8608428, -87.7116411)",41.8608428, -87.7116411
Gladstone,Park,5421 N MENARD AVE,81.0,2.0,1.0,6.0,20.0,951.0,"(41.9791707, -87.7730539)",41.9791707, -87.7730539
Gladstone,School,1231 S DAMEN AVE,104.0,5.0,1.0,24.0,33.0,595.0,"(41.8653843, -87.67574019999999)",41.8653843, -87.67574019999999
Gladys,Park,3307 W GLADYS AVE,89.0,5.0,3.0,23.0,15.0,712.0,"(41.87621120000001, -87.70873689999999)",41.87621120000001, -87.70873689999999
Global Citizensihp Acad,School,4647 W 47TH ST,118.0,0.0,2.0,12.0,22.0,728.0,"(41.8074018, -87.7401728)",41.8074018, -87.7401728
Gloria Dei Lutheran,School,5259 S MAJOR AVE,177.0,6.0,0.0,42.0,53.0,266.0,"(41.7966195, -87.76458799999999)",41.7966195, -87.76458799999999
Goethe,School,2236 N ROCKWELL ST,237.0,18.0,3.0,27.0,55.0,203.0,"(41.922683, -87.6932528)",41.922683, -87.6932528
Goldberg,Park,7053 N GLENWOOD AVE,50.0,7.0,1.0,7.0,14.0,1120.0,"(42.0109824, -87.66586699999999)",42.0109824, -87.66586699999999
Goldblatt,School,4257 W ADAMS ST,138.0,12.0,5.0,31.0,34.0,369.0,"(41.8775566, -87.7319598)",41.8775566, -87.7319598
Golden Gate,Park,500 E 130TH ST,55.0,1.0,2.0,19.0,26.0,887.0,"(41.65912609999999, -87.60969659999999)",41.65912609999999, -87.60969659999999
Gompers,School,12302 S STATE ST,35.0,5.0,2.0,2.0,13.0,1242.0,"(41.6705466, -87.62318929999999)",41.6705466, -87.62318929999999
Gompers,Park,4222 W FOSTER AVE,393.0,23.0,13.0,61.0,99.0,35.0,"(41.9762899, -87.7366662)",41.9762899, -87.7366662
Goodlow Magnet,School,2040 W 62ND ST,29.0,4.0,0.0,8.0,14.0,1134.0,"(41.7816454, -87.6756705)",41.7816454, -87.6756705
Gooseberry,Park,4648 N MALDEN ST,85.0,4.0,0.0,6.0,21.0,916.0,"(41.966724, -87.66300100000001)",41.966724, -87.66300100000001
Gordon Tech HS,School,3633 N CALIFORNIA AVE,183.0,10.0,3.0,35.0,52.0,272.0,"(41.9480946, -87.6973069)",41.9480946, -87.6973069
Goudy,Park,1255 N ASTOR ST,113.0,14.0,5.0,3.0,28.0,708.0,"(41.9052359, -87.6271677)",41.9052359, -87.6271677
Goudy,School,5120 N WINTHROP AVE,261.0,20.0,3.0,25.0,73.0,138.0,"(41.9757851, -87.6582002)",41.9757851, -87.6582002
Grace English Lutheran,School,2725 N LARAMIE AVE,206.0,11.0,4.0,24.0,53.0,261.0,"(41.9303398, -87.7560436)",41.9303398, -87.7560436
Grace Lutheran,School,4106 W 28TH ST,56.0,6.0,2.0,9.0,10.0,1007.0,"(41.8407426, -87.72709610000001)",41.8407426, -87.72709610000001
Graham,School,4436 S UNION AVE,36.0,2.0,0.0,9.0,10.0,1222.0,"(41.8134222, -87.6432306)",41.8134222, -87.6432306
Graham Training Ctr,School,2347 S WABASH AVE,73.0,5.0,2.0,10.0,24.0,880.0,"(41.8495905, -87.625416)",41.8495905, -87.625416
Grand,Park,3531 W GRAND AVE,165.0,11.0,4.0,27.0,46.0,302.0,"(41.901576, -87.7148699)",41.901576, -87.7148699
Grand Crossing,Park,7655 S INGLESIDE AVE,94.0,2.0,5.0,8.0,28.0,784.0,"(41.7556929, -87.6012188)",41.7556929, -87.6012188
Grandparents',Park,5445 N CHESTER ST,148.0,2.0,2.0,13.0,38.0,505.0,"(41.978035, -87.83906089999999)",41.978035, -87.83906089999999
Grant,School,145 S CAMPBELL AVE,224.0,21.0,9.0,33.0,58.0,162.0,"(41.8791604, -87.6882174)",41.8791604, -87.6882174
Grape,Park,2850 W AVONDALE AVE,261.0,11.0,5.0,21.0,70.0,159.0,"(41.9370397, -87.7051199)",41.9370397, -87.7051199
Graver,Park,1518 W 102ND PL,48.0,4.0,3.0,13.0,13.0,1082.0,"(41.7074349, -87.66044509999999)",41.7074349, -87.66044509999999
Gray,School,3730 N LARAMIE AVE,84.0,8.0,1.0,15.0,32.0,734.0,"(41.9490944, -87.75741289999999)",41.9490944, -87.75741289999999
Greeley,School,832 W SHERIDAN RD,246.0,35.0,9.0,10.0,71.0,170.0,"(41.9531958, -87.6507632)",41.9531958, -87.6507632
Green,Park,6500 N ALGONQUIN AVE,16.0,0.0,0.0,7.0,4.0,1398.0,"(41.9991496, -87.7660485)",41.9991496, -87.7660485
Green Briar,Park,2650 W PETERSON AVE,260.0,3.0,3.0,38.0,90.0,105.0,"(41.9906437, -87.6962041)",41.9906437, -87.6962041
Green Wendell,School,1150 W 96TH ST,119.0,5.0,1.0,41.0,32.0,468.0,"(41.7195222, -87.65239419999999)",41.7195222, -87.65239419999999
Greenbaum,Park,1729 N KILDARE AVE,39.0,0.0,0.0,6.0,8.0,1269.0,"(41.9116005, -87.73370179999999)",41.9116005, -87.73370179999999
Greene,School,3525 S HONORE ST,68.0,4.0,1.0,14.0,23.0,803.0,"(41.8296803, -87.6712481)",41.8296803, -87.6712481
Greene Branch,School,3625 S HOYNE AVE,27.0,0.0,0.0,3.0,5.0,1283.0,"(41.8278556, -87.6776525)",41.8278556, -87.6776525
Gregory,School,3715 W POLK ST,106.0,4.0,2.0,18.0,17.0,662.0,"(41.8703954, -87.71853519999999)",41.8703954, -87.71853519999999
Gresham,School,8524 S GREEN ST,132.0,4.0,3.0,17.0,16.0,652.0,"(41.7387531, -87.6453401)",41.7387531, -87.6453401
Grimes,School,5450 W 64TH PL,14.0,1.0,0.0,1.0,1.0,1466.0,"(41.7756473, -87.7584057)",41.7756473, -87.7584057
Grissom Acad,School,12810 S ESCANABA AVE,11.0,1.0,0.0,2.0,3.0,1457.0,"(41.662351, -87.55353749999999)",41.662351, -87.55353749999999
Gross,Park,2708 W LAWRENCE AVE,159.0,8.0,5.0,17.0,50.0,366.0,"(41.9687002, -87.6966492)",41.9687002, -87.6966492
Guggenheim,School,7141 S MORGAN ST,92.0,6.0,0.0,23.0,32.0,580.0,"(41.7636438, -87.6489991)",41.7636438, -87.6489991
Gunsaulus Acad,School,4420 S SACRAMENTO AVE,52.0,3.0,1.0,4.0,7.0,1215.0,"(41.8132768, -87.69924379999999)",41.8132768, -87.69924379999999
Haas,Park,2402 N WASHTENAW AVE,243.0,20.0,3.0,32.0,46.0,204.0,"(41.9251779, -87.6952498)",41.9251779, -87.6952498
Haines,School,247 W 23RD PL,142.0,9.0,4.0,19.0,31.0,504.0,"(41.84976150000001, -87.6339015)",41.84976150000001, -87.6339015
Hale,School,6140 S MELVINA AVE,7.0,0.0,0.0,1.0,2.0,1481.0,"(41.7804544, -87.7769521)",41.7804544, -87.7769521
Hale,School,6140 S MELVINA AVE,7.0,0.0,0.0,1.0,2.0,1481.0,"(41.7804544, -87.7769521)",41.7804544, -87.7769521
Hale,Park,6140 S MELVINA AVE,144.0,7.0,1.0,32.0,34.0,425.0,"(41.7804544, -87.7769521)",41.7804544, -87.7769521
Hale,Park,6140 S MELVINA AVE,144.0,7.0,1.0,32.0,34.0,425.0,"(41.7804544, -87.7769521)",41.7804544, -87.7769521
Hales Franciscan HS,School,4930 S COTTAGE GROVE AVE,69.0,4.0,2.0,18.0,19.0,876.0,"(41.8049928, -87.6071644)",41.8049928, -87.6071644
Haley,School,11411 S EGGLESTON AVE,62.0,8.0,1.0,18.0,22.0,862.0,"(41.6863684, -87.63340769999999)",41.6863684, -87.63340769999999
Hamilton,Park,513 W 72ND ST,75.0,2.0,2.0,8.0,21.0,845.0,"(41.7628279, -87.63769239999999)",41.7628279, -87.63769239999999
Hamilton,School,1650 W CORNELIA AVE,230.0,19.0,2.0,24.0,80.0,158.0,"(41.9454775, -87.6706494)",41.9454775, -87.6706494
Hamlin,Park,3035 N HOYNE AVE,89.0,7.0,3.0,8.0,19.0,855.0,"(41.9370863, -87.6805212)",41.9370863, -87.6805212
Hamline,School,4747 S BISHOP ST,85.0,10.0,1.0,19.0,28.0,635.0,"(41.8072923, -87.6609932)",41.8072923, -87.6609932
Hammond,School,2819 W 21ST PL,184.0,17.0,8.0,34.0,58.0,237.0,"(41.8525332, -87.6958882)",41.8525332, -87.6958882
Hampton,School,3434 W 77TH ST,25.0,2.0,0.0,2.0,2.0,1410.0,"(41.75377640000001, -87.7089941)",41.75377640000001, -87.7089941
Hancock,School,4034 W 56TH ST,423.0,13.0,5.0,80.0,144.0,22.0,"(41.7919803, -87.72493779999999)",41.7919803, -87.72493779999999
Hanna Sacks Bais,School,3021 W DEVON AVE,159.0,11.0,1.0,20.0,46.0,373.0,"(41.9970869, -87.70534610000001)",41.9970869, -87.70534610000001
Hansberry,Park,5635 S INDIANA AVE,72.0,4.0,1.0,10.0,18.0,969.0,"(41.7920273, -87.6207767)",41.7920273, -87.6207767
Hanson Park,School,5411 W FULLERTON AVE,416.0,17.0,9.0,88.0,109.0,27.0,"(41.92332510000001, -87.7621296)",41.92332510000001, -87.7621296
Harding,Park,3921 W DIVISION ST,220.0,21.0,8.0,32.0,53.0,186.0,"(41.9026929, -87.72489)",41.9026929, -87.72489
"Harding,",Park,4912 S CALUMET AVE,53.0,3.0,2.0,10.0,16.0,1065.0,"(41.8050726, -87.61805389999999)",41.8050726, -87.61805389999999
Harlan HS,School,9652 S MICHIGAN AVE,37.0,1.0,0.0,9.0,8.0,1243.0,"(41.7181944, -87.62127720000001)",41.7181944, -87.62127720000001
Harper HS,School,6520 S WOOD ST,40.0,4.0,0.0,8.0,7.0,1152.0,"(41.7749901, -87.6695661)",41.7749901, -87.6695661
Harris,Park,6701 S LOWE AVE,99.0,9.0,5.0,20.0,29.0,568.0,"(41.772516, -87.64029699999999)",41.772516, -87.64029699999999
Harris,Park,6200 S DREXEL AVE,206.0,29.0,6.0,55.0,55.0,137.0,"(41.7819343, -87.604879)",41.7819343, -87.604879
Harrison,Park,1824 S WOOD ST,193.0,14.0,1.0,28.0,57.0,258.0,"(41.8569085, -87.671916)",41.8569085, -87.671916
Harsh,Park,4464 S OAKENWALD AVE,15.0,0.0,0.0,0.0,3.0,1387.0,"(41.8140265, -87.5953297)",41.8140265, -87.5953297
Harte,School,1556 E 56TH ST,218.0,21.0,7.0,59.0,64.0,127.0,"(41.793697, -87.5867468)",41.793697, -87.5867468
Harvard,School,7525 S HARVARD AVE,212.0,15.0,7.0,76.0,71.0,91.0,"(41.7576032, -87.6323572)",41.7576032, -87.6323572
Haugan,School,4540 N HAMLIN AVE,98.0,5.0,0.0,6.0,14.0,912.0,"(41.9637367, -87.72362799999999)",41.9637367, -87.72362799999999
Haugan Middle _ Aspira,School,3729 W LELAND ST,106.0,7.0,2.0,5.0,24.0,781.0,"(41.9661979, -87.7218245)",41.9661979, -87.7218245
Hawthorne Acad,School,3319 N CLIFTON AVE,80.0,6.0,1.0,1.0,21.0,979.0,"(41.9422972, -87.65751519999999)",41.9422972, -87.65751519999999
Hay Community Acad,School,1018 N LARAMIE AVE,135.0,12.0,5.0,34.0,19.0,446.0,"(41.8994959, -87.7562501)",41.8994959, -87.7562501
Hayes,Park,2936 W 85TH ST,45.0,2.0,0.0,8.0,7.0,1219.0,"(41.7390058, -87.697062)",41.7390058, -87.697062
Hayt,School,1518 W GRANVILLE AVE,155.0,14.0,3.0,20.0,43.0,380.0,"(41.9947363, -87.66849959999999)",41.9947363, -87.66849959999999
Hazelnut,Park,5949 W HURON ST,37.0,1.0,1.0,3.0,7.0,1298.0,"(41.892661, -87.7741006)",41.892661, -87.7741006
Healy,School,3010 S PARNELL AVE,118.0,10.0,2.0,22.0,37.0,524.0,"(41.8392179, -87.64083889999999)",41.8392179, -87.64083889999999
